iter	Passed	Remaining
0	284	283906
1	369	184604
2	457	152163
3	540	134649
4	597	118903
5	696	115382
6	766	108666
7	828	102698	8	883	97279	9	961	95141010	1057	95011	11	1131	93112	12	1203	91313	13	1302	91714	14	1360	89315	15	1430	87916	16	1505	87017	17	1581	86218	18	1651	85219	19	1755	86020	20	1824	85021	21	1911	84922	22	1987	84423	23	2050	83424	24	2112	82325	25	2190	82026	26	2272	81827	27	2345	81428	28	2410	80729	29	2480	80230	30	2553	79831	31	2633	79632	32	2711	79433	33	2797	79434	34	2888	79635	35	2969	79536	36	3067	79837	37	3128	79138	38	3217	79239	39	3280	78740	40	3365	78714
41	3428	78142	42	3493	77743	43	3579	77744	44	3652	77545	45	3733	77446	46	3794	76947	47	3895	77248	48	3970	77049	49	4048	76950	50	4126	76751	551	4330	7852	552	4405	7853	53	4352	76254	54	4427	76055	55	4501	75856	56	4566	75557	57	4648	75458	58	4725	75359	4825	75602
60	4902	75466
61	4991	75522
62	5074	75466
63	5154	75386
64	5263	75712
65	5361	75877
66	5423	75523
67	5549	76054
68	5636	76056
69	5706	75815
70	5770	75498
71	5863	75576
72	5930	75306
73	6008	75189
74	6088	75087
75	6148	74757
76	6227	74653
77	6293	74391
78	6372	74291
79	6458	74273
80	6549	74303
81	6633	74258
82	6702	74051
83	6784	73983
84	6872	73984
85	6946	73822
86	7032	73805
87	7111	73704
88	7180	73495
89	7240	73211
90	7305	72970
91	7395	72987
92	7470	72854
93	7529	72567
94	7603	72428
95	95	7694	72496	96	7759	72297	97	7842	72198	98	7927	72199	99	7997	719100100	8079	719101101	8154	717102102	8212	715103103	8293	714104104	8381	714105105	8467	71418
106	8549	71355
107	8630	71283
108	8707	71178
109	8784	71073
110	8878	711111111	8971	71133
112	9037	709113113	9125	709114114	9215	709115115	9277	706116116	9353	705117117	9409	703118118	9483	702119119	9553	700120120	9642	700121121	9712	698122122	9788	697123123	9862	696124124	9944	6961125	10132	70286
126	10224	70284
127	10309	70234
12128	10268	6933129	10469	70064
13130	10427	6917131	10650	70037
132	10732	69964
133	10796	69773
134	10876	69688
135	10960	69631
136	11030	69485
137	11106	69377
138	11205	69412
